year,month,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units,date,state,year_quarter
2014,6,NUS,U.S.,EPG0,Natural Gas,VGL,Lease and Plant Fuel Consumption,N9160US2,U.S. Natural Gas Lease and Plant Fuel Consumption (MMcf),123570.0,MMCF,2014-06-01,U.S.,2014Q2
2014,6,NUS,U.S.,EPG0,Natural Gas,VCS,Commercial Consumption,N3020US2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),141451.0,MMCF,2014-06-01,U.S.,2014Q2
2014,6,NUS,U.S.,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045US2,U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf),720750.0,MMCF,2014-06-01,U.S.,2014Q2
2014,6,NUS,U.S.,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060US2,Natural Gas Delivered to Consumers in the U.S. (MMcf),1576508.0,MMCF,2014-06-01,U.S.,2014Q2
2014,6,NUS,U.S.,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,N3025US2,U.S. Natural Gas Vehicle Fuel Consumption (MMcf),2900.0,MMCF,2014-06-01,U.S.,2014Q2
2014,6,NUS,U.S.,EPG0,Natural Gas,VIN,Industrial Consumption,N3035US2,U.S. Natural Gas Industrial Consumption (MMcf),585811.0,MMCF,2014-06-01,U.S.,2014Q2
2014,6,NUS,U.S.,EPG0,Natural Gas,VGP,Pipeline Fuel Consumption,N9170US2,U.S. Natural Gas Pipeline & Distribution Use (MMcf),45272.0,MMCF,2014-06-01,U.S.,2014Q2
2014,6,NUS,U.S.,EPG0,Natural Gas,VRS,Residential Consumption,N3010US2,U.S. Natural Gas Residential Consumption (MMcf),125596.0,MMCF,2014-06-01,U.S.,2014Q2
2014,7,NUS,U.S.,EPG0,Natural Gas,VCS,Commercial Consumption,N3020US2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),137609.0,MMCF,2014-07-01,U.S.,2014Q3
2014,7,NUS,U.S.,EPG0,Natural Gas,VGP,Pipeline Fuel Consumption,N9170US2,U.S. Natural Gas Pipeline & Distribution Use (MMcf),48869.0,MMCF,2014-07-01,U.S.,2014Q3
2014,7,NUS,U.S.,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045US2,U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf),843303.0,MMCF,2014-07-01,U.S.,2014Q3
